employee_id,project_id,project_name,allocation_pct,start_date,end_date
EMP001,PRJ001,新規顧客開拓,50,2024-01-01,2024-06-30
EMP001,PRJ002,既存顧客フォロー,50,2024-01-01,2024-12-31
EMP002,PRJ001,新規顧客開拓,30,2024-01-01,2024-06-30
EMP002,PRJ003,営業戦略立案,70,2024-01-01,2024-03-31
EMP003,PRJ004,社内システム刷新,100,2024-01-01,2024-09-30
EMP004,PRJ004,社内システム刷新,60,2024-01-01,2024-09-30
EMP004,PRJ005,モバイルアプリ開発,40,2024-04-01,2024-12-31
EMP005,PRJ004,社内システム刷新,30,2024-01-01,2024-09-30
EMP005,PRJ005,モバイルアプリ開発,70,2024-04-01,2024-12-31
EMP006,PRJ006,採用強化プロジェクト,100,2024-01-01,2024-06-30
EMP007,PRJ006,採用強化プロジェクト,50,2024-01-01,2024-06-30
EMP007,PRJ007,人事制度改革,50,2024-04-01,2024-12-31
EMP008,PRJ008,経理システム移行,100,2024-01-01,2024-03-31
EMP009,PRJ008,経理システム移行,40,2024-01-01,2024-03-31
EMP009,PRJ009,決算効率化,60,2024-01-01,2024-12-31
EMP010,PRJ001,新規顧客開拓,80,2024-01-01,2024-06-30
EMP010,PRJ002,既存顧客フォロー,20,2024-01-01,2024-12-31
EMP011,PRJ004,社内システム刷新,80,2024-01-01,2024-09-30
EMP011,PRJ010,技術調査,20,2024-01-01,2024-12-31
EMP012,PRJ005,モバイルアプリ開発,100,2024-04-01,2024-12-31
EMP013,PRJ001,新規顧客開拓,100,2024-01-01,2024-06-30
EMP014,PRJ007,人事制度改革,100,2024-04-01,2024-12-31
EMP015,PRJ004,社内システム刷新,100,2024-01-01,2024-09-30
EMP016,PRJ008,経理システム移行,60,2024-01-01,2024-03-31
EMP016,PRJ009,決算効率化,40,2024-01-01,2024-12-31
EMP017,PRJ003,営業戦略立案,100,2024-01-01,2024-03-31
EMP018,PRJ004,社内システム刷新,100,2024-04-01,2024-09-30
EMP019,PRJ009,決算効率化,100,2024-01-01,2024-12-31
EMP020,PRJ002,既存顧客フォロー,70,2024-01-01,2024-12-31
EMP020,PRJ001,新規顧客開拓,30,2024-01-01,2024-06-30
